Artist,Album,Bought For (Roughly),Median Discogs Price,Coloured Record,Limited,Repress,RYM Score,TND Score,last.fm Scrobbles,Genre,Version First-Hand,Album First-Hand,AOTY Critic,AOTY User,Personal Top 50
,,,,,,,,,,,,,,,
Frank Ocean,Blond,40,318.89,N,Y,N,3.97,8,"27,700,000",R&B,N,N,86,88,N
Various Artists,Samurai Champloo OST,150,246,N,Y,N,4.33,N/A,N/A,Hip Hop,N,N,N/A,85,Y
Milo,A Toothpaste Suburb,100,164,Y,Y,N,3.19,5,"518,500",Hip Hop,N,N,64,70,N
2814,Birth Of A New Day,35,130,Y,Y,Y,3.6,N/A,"113,100",Electronic,N,N,71,79,N
Frank Ocean,Endless,40,100,N,Y,N,3.8,8,N/A,R&B,N,N,73,82,N
Lil Ugly Mane,Mista Thug Isolation,30,72,Y,Y,Y,3.83,N/A,"2,600,000",Hip Hop,N,N,82,84,N
Quasimoto,The Unseen,30,70,Y,Y,Y,3.78,N/A,"4,800,000",Hip Hop,N,Y,82,84,Y
Julia Holter,Aviary,22,62,Y,Y,N,3.67,8,"664,500",Singer/Songwriter,N,Y,80,79,N
Daughters,You Won’t Get What You Want,35,57.4,Y,Y,N,3.83,10,"1,600,000",Rock,N,Y,86,85,Y
Oddisee,The Good Fight,30,55,Y,Y,N,3.4,N/A,"487,200",Hip Hop,N,Y,81,76,N
Kero Kero Bonito,Bonito Generation,25,52,Y,Y,N,3.49,8,"2,000,000",Pop,N,N,82,80,N
Handsome Boy Modelling School,So… How's Your Girl?,30,47.58,Y,Y,Y,3.54,N/A,"1,800,000",Hip Hop,N,N,77,72,Y
Idles,Joy As An Act Of Resistance,20,45.55,Y,Y,N,3.7,9,"2,400,000",Punk,N,Y,89,84,N
King Gizzard and the Lizard Wizard,Flying Microtonal Banana,25,45,Y,Y,N,3.64,8,"1,400,000",Rock,N,Y,74,79,N
De La Soul,Three Feet High and Rising,35,44,Y,Y,Y,3.79,N/A,"4,500,000",Hip Hop,N,N,90,85,N
Apollo Brown,Clouds,15,41,N,Y,N,3.31,N/A,"1,900,000",Hip Hop,N,N,60,76,N
Bon Iver,"22, A Million",40,36.9,Y,Y,Y,3.34,5,"7,000,000",Indie,N,Y,87,81,N
Melt Banana,Fetch,20,32,Y,Y,N,3.64,9,"715,500",Metal,N,Y,83,79,N
Kamasi Washington,The Epic,30,30,N,N,N,3.7,9,"1,400,000",Jazz,Y,Y,81,83,N
Swans,To Be Kind,25,28,N,N,N,3.96,10,"2,400,000",Rock,Y,Y,87,87,Y
Uyama Hiroto,Waltz For Life Will Born,50,28,N,Y,N,3.82,N/A,"167,700",Jazz,N,N,N/A,87,N
Oh Sees,Orc,40,24,Y,Y,N,3.52,8,"398,900",Rock,N,Y,75,76,N
Quelle Chris,Bring You Is Great!...,22,23.47,Y,Y,N,3.45,8,"229,100",Hip Hop,Y,Y,71,79,Y
King Geedorah,Take Me To Your Leader,25,22,Y,N,Y,3.74,N/A,"2,400,000",Hip Hop,Y,Y,82,81,N
Porches,Pool,25,22,Y,Y,N,3.01,5,"1,200,000",Indie,N,Y,69,74,N
Digable Planets,Blowout Comb,25,21,N,N,Y,3.85,N/A,"1,400,000",Hip Hop,Y,Y,81,87,Y
King Krule,The OOZ,22,21,Y,Y,N,3.48,4,"3,600,000",Indie,N,Y,78,80,N
Penguin Café Orchestra,Union Café,20,21,Y,Y,Y,3.49,N/A,"115,700",Classical,Y,Y,N/A,81,N
Shabazz Palaces,Lese Majesty,40,21,Y,Y,N,3.32,5,"2,500,000",Hip Hop,N,Y,82,75,Y
Bright Eyes,I'm Wide Awake It's Morning,15,20.04,N,N,N,3.59,N/A,"13,500,000",Indie,Y,Y,83,85,N
BADBADNOTGOOD,III,17,20,N,N,N,3.53,7,"2,500,000",Jazz,Y,Y,71,78,N
Iceage,Plowing Into The Field Of Love,15,20,N,N,N,3.54,9,"1,700,000",Punk,Y,Y,79,81,Y
Jan Jelinek,Loop-Finding-Jazz-Records,25,20,N,N,Y,3.65,N/A,"737,400",Electronic,Y,Y,88,80,Y
Songhoy Blues,Resistance,20,20,Y,Y,N,3.34,N/A,"94,600",World,N,Y,80,74,N
Lee Scratch Perry,Super Ape,30,19,Y,Y,Y,3.77,N/A,"250,000",World,N,Y,100,82,N
The Avalanches,Wildflower,25,18,N,N,N,3.54,7,"4,100,000",Hip Hop,Y,Y,79,79,N
Death Grips,The Money Store,17,18,N,N,N,3.95,10,"11,900,000",Hip Hop,Y,Y,84,89,N
Young Fathers,Cocoa Sugar,12,18,Y,Y,N,3.35,6,"1,100,000",Indie,N,Y,84,77,N
Fever The Ghost,Crab in Honey,15,17.61,Y,N,N,3.2,N/A,"190,100",indie,N,N,N/A,69,N
Aphex Twin,Selected Ambient Works II,20,17,N,N,Y,4,N/A,"11,300,000",Electronic,Y,Y,91,88,Y
Descendents,Milo Goes To College,14,17,N,N,N,3.64,N/A,"6,100,000",Punk,Y,Y,90,80,Y
Danger Doom,The Mouse and the Mask,20,16.4,N,N,Y,3.6,N/A,"2,400,000",Hip Hop,Y,Y,74,81,N
Darwin Deez,Double Down,15,16.39,Y,N,N,2.88,N/A,"173,100",Indie,N,Y,49,64,N
Ariel Pink,Pom Pom,20,16,N,N,N,3.58,9,"3,600,000",Indie,Y,Y,74,82,N
Bibio,Ribbons,13,16,Y,N,N,3.28,N/A,"302,200",Indie,Y,Y,76,72,N
Charles Mingus,Mingus Ah Um,12,15,Y,N,Y,4.11,N/A,"2,500,000",Jazz,Y,Y,100,88,Y
Dizzee Rascal,Boy In Da Corner,22,15,Y,N,Y,3.57,N/A,"2,700,000",Hip Hop,Y,Y,91,85,N
Ata Kak,Obaa Sima,17,15,N,N,Y,3.54,N/A,"172,900",World,Y,Y,N/A,74,Y
Danny Brown,Atrocitiy Exhibition,20,14,N,N,N,4.04,9,"5,000,000",Hip Hop,Y,Y,83,88,N
D'Angelo,Black Messiah,20,13.67,N,N,N,3.86,8,"2,600,000",R&B,Y,Y,93,86,Y
Bonobo,Black Sands,15,13.66,N,N,N,3.44,N/A,"20,600,000",Electronic,Y,Y,72,77,N
FKA Twigs,LP1,15,13,N,N,N,3.49,8,"9,000,000",R&B,Y,Y,86,84,N
Bonobo,Migration,15,12.99,N,N,N,3.02,N/A,"3,600,000",Indie,Y,Y,75,73,N
Burial,Untrue,20,12.8,N,N,Y,3.87,N/A,"18,900,000",Electronic,Y,Y,94,88,Y
Four Tet,Pink,25,12.3,N,N,Y,3.48,7,"1,600,000",Electronic,Y,Y,72,77,N
The Beatles,Revolver,15,12,N,N,Y,4.26,N/A,"25,300,000",Rock,Y,Y,100,91,N
The Beatles,Sgt. Peppers Lonely Hearts Club Band,15,12,N,N,Y,4.15,N/A,"24,600,000",Rock,Y,Y,98,90,N
Bibio,Phantom Brickworks,20,12,N,N,N,3.5,N/A,"189,600",Electronic,Y,Y,79,76,Y
Black Midi,Schlagenheim,17,12,N,N,N,3.67,8,"672,900",Rock,Y,Y,81,82,N
MF DOOM,Operation Doomsday,20,12,N,N,Y,3.79,N/A,"3,600,000",Hip Hop,Y,Y,86,86,N
Belle And Sebastian,If You're Feeling Sinister,20,10,N,N,Y,3.98,N/A,"10,100,000",Hip Hop,Y,Y,90,89,Y
Once & Future Band,Brain,20,10,N,N,N,3.46,N/A,"6,754",Rock,N,Y,N/A,N/A,N
Hookworms,Microshift,20,9,N,N,N,3.17,N/A,"262,700",Indie,Y,Y,85,74,N
Blackalicious,Imani Vol. 1,20,6.81,N,N,N,3.39,N/A,"68,500",Hip Hop,Y,Y,72,71,N
Blessed Feathers,There Will Be No Sad Tomorrow,30,3.28,Y,Y,N,2.9,N/A,"16,300",Hip Hop,Y,Y,N/A,64,N